サークル,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れる状況,ラベル1,ラベル２
サッカー観戦会,私たちサッカー観戦会は全国各地のスタジアムで好きなサッカーチームを熱く応援するサークルです。基本的にはサークル員全員での活動というよりは、同じチームを応援するもの同士で、好きな時にスタジアムへ行き試合観戦を行っています。ただ、サークル員全員での活動として、定期的な飲み会やフットサルなども行っています。また年に1度のイベントとして、秋ごろにサッカー界から有名人をお招きして講演会を行っています。近年では、元日本代表の佐藤寿人氏や、アナウンサーの下田恒幸氏をお招きしました。試合観戦やイベントへの参加も強制力のあるものではないので、自分のペースで参加できるサークルです。Jリーグ、海外サッカー、高校サッカーまでサッカー好きなら誰でも大歓迎です。一緒にスタジアムで応援しましょう。,"基本的に週末、全国各地のスタジアム
","170人
","2000年
",,スポーツ（球技）,サッカー
FC GUSTA,"サークルサッカー最高峰「新関東リーグ」1部所属。総勢150人超のインカレサッカーサークルです。2009年設立と比較的浅い歴史でありながらも過去には、日本一のタイトルを獲得し、近年でも必ず上位に食い込む程、安定した成績を残しています。

プレイヤーは早稲田生で構成され、全国大会出場経験者やユースチーム出身の選手から初心者まで幅広い背景を持つ選手が多数在籍しています。

「日本一のサッカーサークル」を目標に掲げ、サッカー面は勿論、楽しさの面でも両立することに重きを置いています。

歴史が浅いため、しがらみがなく自由な雰囲気のサークルです。サッカーも学生生活も全力で楽しみたい新入生をお待ちしています。気になった方はぜひ、SNSの方から連絡をお待ちしております。",週3回　主に月、水、木/時間は不定期（主に13時～15時）/小石川、落合、西戸山、代々木,"150人
","2009年
",,スポーツ（球技）,サッカー
蹴球同好会,蹴球同好会の魅力は、近年実績を残しつつも、非レギュラー制で仲良くやっているところ！女子はマネージャーもプレイヤーも、ワイワイして盛り上げてくれます（笑）。週1・2回の練習や大会、イベントや飲み会も充実。ディズニー、ハロウィーン、クリスマスパーティー、スノボ合宿などなど...大学生だからこそできる楽しさを追求して活動してます！たくさんの先輩が待ってます！蹴球同好会で大学生最高の思い出を作ろう！,"毎週水曜日/17時/豊島園
","90人
","1974年
",0人,スポーツ（球技）,フットサル
メインストリートF.C,男子は早稲田、女子は各女子大の学生が集まっています。木曜日は高田馬場の西戸山公園、日曜日は都内のフットサルコートで練習しています。フットサルを楽しむことに重きを置くエンジョイ志向のチームです。試合に勝つことが第一である競技志向のチームではないので雰囲気も落ち着いており、初心者や女子でも気軽に楽しくフットサルをしています。大会になったら皆全力で、練習やサークル内大会はとにかく楽しく活動しています。サークル内大会や早稲田大学の他サークルとの交流戦も行なっています。普段の木日の練習に加え、年3回の合宿(5月:新歓合宿　夏休み:夏合宿　春休み:春合宿)のほかにも運動会、ウォークラリー、ドライブ、スノボなどの様々なレクリエーション企画も行なっています。,毎週木曜日・日曜日/15時半/西戸山公園、王子、錦糸町,"62人
","1996年
",0人,スポーツ（球技）,フットサル
KatZwei,キャッツバイは毎週2回、公園でフットサルをして汗を流しています。オール早稲田のサークルで、また女子もみんなマネジャーとしてではなくプレーヤーとして参加します。多くのメンバーが初心者であり、ガチガチでフットサルをしたり、レギュラーを勝ち取るために懸命に練習をしたりするというよりは、汗を流したいときや、みんなに会いたいときに顔を出して、楽しくフットサルをするというサークルです！ 一学年が20人程度で、同学年の仲も、先輩後輩の仲も非常にいいです。大会には月に1度程度の割合で一般の市民大会に出ています。社会人の方や時には子どももメンバーであるチームと戦うため、大会ではあっても終始和やかに試合をします！ みんな仲が良く、みんながみんなのことを考えて活動しているところがキャッツバイの魅力です!!,"毎週水曜日・土曜日/13時〜18時/西戸山公園
","71人
",2003年,0人,スポーツ（球技）,フットサル
Espiga,男子約35人、女子約35人で週一回、毎週金曜日に吉祥寺でフットサルをしています。練習の前半は男女含めてミックスで楽しく体を動かし、後半は男子だけ、女子だけでがっつりフットサルを楽しみます。また、年に数回大会に出ることもあり、今年の春には女子が早稲田の学内戦で準優勝を果たしました。もちろんフットサル以外のイベントも充実しており、ディズニー、キャンプ、年四回の合宿や、納涼船、クリスマスパーティーなどがあります。メンバー同士の仲が良いのもこのサークルの売りで、キャンパスライフを充実させてくれること間違いなし。金曜日はEspiga以外ありえない。,毎週金曜日/19時/吉祥寺,"70人
","2005年
",0人,スポーツ（球技）,フットサル
ディエンテ早稲田,ディエンテは初心者から高校までサッカーをやっていた人、男子も女子も留学生も誰でもみんなで楽しめるフットサルサークルです。特にディエンテは留学生が多数在籍しているフットサルサークルです。留学生と交流し、遊びたい、外国語を学びたい、海外旅行について聞きたい、そんな人大歓迎です。またディエンテは毎年上級者から初心者までいますが、みんなで楽しく、そして真面目に練習しています。強くはないかもしれませんが、大会では毎回ドラマ作っちゃいます。雰囲気も飲みも超まったりでゆるーく楽しむサークルです。年に数回ある合宿や、他にもいろいろイベント充実しています！ディエンテのアットホームな雰囲気は早稲田1です！ぜひ一度練習に来てみてください！,毎週火曜日・木曜日・その他/18時/田端新町コミュニティアリーナ,"81人
","2009年
","	22人",スポーツ（球技）,フットサル
FC.TEMPESTA,FC.TEMPESTAは所沢キャンパスを中心に活動しているフットサルサークルです。練習は男女mixで行いマネージャーはいません！早稲田も他大も初心者も経験者も男女も関係なく色々な人がフットサルを全力で楽しんでいます。大会にも年に数回参加して様々なところで好成績を残してきました！フットサルメインですが、イベントも充実しています！夏合宿やクリスマスコンパ、スノボ合宿などなど、、。ぜひ、気楽に参加してみてください！個性豊かなメンバーとともにみなさんをお待ちしております！,"火曜日と金曜日
",60人,"2011年
",0人,スポーツ（球技）,フットサル
Tonsoku,Tonsokuは2013年創立、早稲田大学公認のオール早稲田フットサルサークルである。若いサークルにもかかわらず、伝統あるサークルにも劣らぬ練習環境、合宿や各種イベントなども非常に充実している。創設1年目で早稲田大学公認となり、2年目で早稲田学内大会において優勝を果たすなど、目覚ましい成長を続けている。またこのサークルは横のつながりだけではなく、縦のつながりも強い。先輩からの一方的な関係ではなく、後輩から先輩への積極的な関係が非常に多いのも特徴の一つである。ただ、このサークルの最も特筆すべき特徴は、「見た目」である。われわれは『見た目から入れ。』をコンセプトとして掲げている。ユニホームの細部にわたるデザインへのこだわり、他のフットサルサークルにはないチームジャージーやトレーニングウエアの導入などは、『見た目から入れ。』を体現したものと言えよう。ここで言えるのが見た目がよくても結果が伴わなければ意味がないということである。しかしTonsokuは違った。創立1年目にして各大会の上位に入り、2014年度の早稲田フットサルリーグでは優勝、2015年度は3位に輝いている。さらに驚くべきは非レギュラー制を採用していることである。全員が真摯（しんし）にフットサルに向き合いトレーニングに励んでいるからこそ、チームで結果が出せるのだ。「名実ともに早稲田一になる」という目標を共に目指す仲間をわれわれは待っている。,毎週火・木曜日/16時〜18時/錦糸町・豊島園・目白台,50人,2013年,0人,スポーツ（球技）,フットサル
早稲田大学フットサル部,『Take The Initiative From WASEDA』というミッションを掲げ、早稲田が先頭に立ち、体育会、大学生、フットサルの常識を変え、未来を創ります。早稲田大学で唯一、公式戦への出場が認められています。高校時代本気でフットボールに勤しんできた多くのフットボーラーにとって大学の名を正式に背負って戦う環境があり、セレクションや体育推薦なども無く、広く門戸を開いています。指導面においてもFリーグ（ペスカドーラ町田）での指導経験のある監督やコーチを筆頭に優秀な指導陣が揃っています。大会：全日本大学フットサル選手権/全日本フットサル選手権。入部後は５つのセクションに分かれ、事業面でも活躍の場を広げて参ります。創部初年度にして獲得協賛金は約300万円にも上り、監督をはじめ指導陣の招聘やスポンサーの獲得、全国大会の主催まで全て学生主体で行います。体育会でも味わうことの出来ない活動を行えます。競技面だけではなく、事業面でも他団体の追随を許さない有意義な活動を行えます。,【練習】月・水・金 21:00-23:00/【練習試合・公式戦】土・日/【練習会場】小豆沢体育館・赤塚体育館・早稲田アリーナ 等/【試合会場】駒沢体育館・駒沢屋内球技場 等,"35人
","2019年
","1人
",スポーツ（球技）,フットサル
G.W.ラグビークラブ,1930年創部の伝統あるラグビークラブです。歴史が長いということでOBも非常に多く組織としてしっかりしているため、さまざまな面でサポートしていただいています。また、2014年度・2015年度と2年連続で学生クラブ日本一を達成しました！本年度は3連覇を目指して日々練習に取り組んでいます。真面目にラグビーに取り組みたいという経験者の人も、初めてラグビーをやってみたいという初心者の人も大歓迎です！マネージャーとしてチームを支えたいという人にも先輩が丁寧に教えるので全く問題ありません！「じーだぶ」のメンバー全員一丸となってチームを盛り上げているので、ラグビーもそれ以外の活動も充実していてとても楽しい学生生活を送っています。興味のある方はぜひご連絡ください！！,"毎週水・土・日曜日
",70人,"1930年
",1人,スポーツ（球技）,ラグビー
こんぷれっくすラグビーチーム,関東学生クラブ選手権大会1部所属のこんぷれっくすラグビーチームは、早稲田大学の公認インカレラグビーサークルです。他大学のプレーヤー、マネージャーもたくさん所属しています。ぜひお気軽に練習見学に来てください。2011年関東学生クラブ選手権大会において「優勝＆学生クラブ日本一」、2016年東日本学生クラブセブンス大会において「優勝」と強さに自信があります。またBBQ、夏合宿、春旅行などイベントも豊富です。学生生活をエンジョイしたいならこんぷへ！,毎週水曜日/16時〜18時/吉祥寺　毎週土曜・日曜/14時〜16時/江戸川　（グラウンド状況により変更あり）,"72人
","1982年

",0人,スポーツ（球技）,ラグビー
早稲田大学理工ラグビー部,私たちは電通大学ラグビー部とともに活動しています。経験者の方はもちろんのこと初心者も多く，みんなで楽しくラグビーをしています。去年は地区対抗関東1区2部を全勝で優勝しました。,毎週土曜日13:00〜(@電通大学多摩川グラウンド),30人,1986年,0人,スポーツ（球技）,ラグビー
理工アメリカンフットボール部バッカス,"早稲田バッカスは、関東の大学の体育会/準体育会/同好会で構成される関東学生フットボールクラブ連盟に所属するアメリカンフットボールチームです。早稲田大学には3000以上のサークルがありますが、早稲田バッカスは数少ない理工学術院承認サークルの一つとして、戸山キャンパス学生会館（30号館）に部室を持ち、理工学術院のみならず早稲田大学全学部生（マネージャーは他大学を含む）が参加して活動しています。卒業後もOB/OGとしてバッカスとの交流は続きます。学生と500人以上のOB/OGは""All Bacchus""で、【毎年就職活動を全面的にバックアップ】しているのもバッカスの特徴です。",毎週土曜日、日曜日/9:00～12:00/国分寺、American School in Japan（多摩）、武蔵野公園,"37人
","1972年
",0人,スポーツ（球技）,アメリカンフットボール
米式蹴球同好会レブルス,こんにちは！僕たち早稲田レブルスはオール早稲田の大学公認アメリカンフットボールサークルです！週4回（火・木・土・日曜日）練習しており、平日は自由参加、土・日はみんなで多摩川の河川敷で活動しています。チームは関東学生フットボールクラブ連盟に所属していて、12月末にある関東選手権優勝を目指して日々トレーニングに励んでいます。レブルスは1978年に創設してからリーグ優勝12回、関東制覇10回を誇るという実績が売りです。もちろん実力重視で勝ちにこだわるチームではありますが、全くの初心者も多数在籍しています。（実際、選手の7割以上が初心者です。）そんな僕らのシーズンが始まるのは2月。4月下旬頃に慶應バイソンというチームと伝統の早慶戦があり、それに向けて春練を開始します。6月にはオープン戦。8月には夏合宿があります。そして9月から大会が始まるのです。そこから11月までがシーズン戦、12月には僕らの目標としている関東選手権があります。こんな僕らの活動ですがオフシーズンもあり、練習がないときもみんなで遊びにも行きます！こんな僕らの活動が気になる人はぜひInstagram(@waseda_revels)へ！選手・マネージャー・スタッフ大募集中です！！,毎週火・木曜日　都内グラウンド毎週土・日曜日　多摩川丸子橋グラウンド,"19人
","1978年
",1人,スポーツ（球技）,アメリカンフットボール
"RayBack
",早稲田大学所沢キャンパスのバスケットボールサークルです!! 2013年設立のフレッシュなサークルで、バスケを真剣に楽しむアットホームな雰囲気のサークルです。大会にも年に数回出場し、初心者から経験者まで、幅広いレベルのプレーヤーが一緒に活動しています。「初心者だけど大丈夫？」と不安に思う人もいるかもしれませんが、安心してください。優しく教えてくれるメンバーが非常に多くて、最終的には試合にもたくさん出られるようになります！ また、バスケだけでなく、イベントも充実しています！ 練習はもちろん、遊びに行ったりして、メンバーとも仲よくなって、一生の友達ができること間違いないでしょう!!!!,毎週火・金曜日/17時〜/所沢市民体育館、毎週木曜日/16時半〜/スポーツホール,70人,"2013年
",0人,スポーツ（球技）,バスケットボール
早大テニスクラブ,私たち早大テニスクラブ(通称:wtc、早庭)は最大最強そして最高のサークルです！その魅力は大きくわけて3つ！まず会員は皆個性豊か！オール早稲田で、全学部から会員が集まってます！そして年中入会を受け付けているので、もちろん留学生や9月入学の学生も！誰もがのびのび過ごせる、唯一無二のサークルです！次にテニス！初心者から全国大会出場経験のある経験者まで、様々なレベルの会員がいます！昨年はカップ準優勝、関東クラブ対抗女子団体準優勝などの結果を残しました！そして何より週５〜6日、平日は9:00〜16:30という圧倒的な練習環境の良さ！経験者の方は沢山テニスができて、初心者の方はゆっくり丁寧にテニスを教えてもらえます！また楽しいイベントも盛り沢山！そして早庭ではなんとプロの試合のボールパーソンができます！イベントや貴重な経験を通して、たくさんの仲間と仲良くなれること間違いなし！少しでも気になる方はぜひ練習にいらっしゃってください！ご入会お待ちしています！,月曜〜金曜/練習9時〜16時半/航空公園、土曜/練習17時〜21時/木場公園や城北中央公園,120人,"1956年
",6人,スポーツ（球技）,テニス
理工硬式庭球部,私たち理工硬式庭球部(通称リコテ)はサークル員のほとんどが理工生なのでとても仲が良いです！練習は平日毎日と理工生には嬉しいナイターも！2019早大CUPでは第3位という結果で、上級者も初心者も大歓迎です！テニスももちろん全力ですが、遊びも全力なのがリコテです！イベントや企画(スノボ.花火.海など)も沢山あります！,"平日:日中/ナイター:週1
","60人

","1960年
",0人,スポーツ（球技）,テニス
ヤング庭球同好会（硬式部）,早大ヤングは早稲田大学公認の十二大サークルの一つです！公認サークルなので運営もしっかりしていて安心です。サークル員は男子は早稲田、女子は早稲田・日本女子・学習院女子大学から構成されています。ですが、男女・大学・学年に関係なくみんな仲良しです♪サークル員はビギナーと経験者半々です。初心者のサークル員にはビギナーのための練習もあるので、初心者の人も安心してテニスを楽しむことができます。また関東ベスト8とテニスの実績もあるので経験者でがっつりテニスをやりたいという人も大歓迎です。練習は平日の週5日やっているので授業のあいている時間に行くことができ、みんなで盛り上がった練習が楽しめます！また早大ヤングは毎年CUP、関東、アッセという団体戦に出場しており、それに向けてみな日々頑張ってます！みんなで結束して一体になる団体戦は、感動すること間違いなしです。またテニスの他にも海や川に行き、仮装してミックスダブルスをした後おしゃれなスカイラウンジでパーティーをするクリパなどの、毎月季節にあった企画を行っているのでテニス以外の面でもみんなと仲良くなれます。またみんなでワイワイ飲む飲み会も必見です。飲みはいっきなし、強制なし、お水テーブルもあるので安心、安全に誰でも気軽に楽しめる！皆さんも最高の大学生活をヤングで一緒におくりましょう！！入って絶対後悔させない！！,平日/高田馬場近辺のコート,120人,"1962年
",0人,スポーツ（球技）,テニス
ヤングテニス同好会（軟式部）,"こんにちは！ヤングです！
ヤングはオール早稲田のソフトテニスサークルです！練習は週に2・3回程度、城北中央公園と浮間公園をメインに、早稲田大学の本キャンから30分程度の場所で練習しています。練習はいつもアットホームな雰囲気で、全員が満遍なく練習・ゲームができるようになっています。そのため、いろんな人と練習できたりペアを組んだいりして仲良くなったり刺激を受けたりしています。平日17時〜21時で練習しているため、授業後でも問題なく参加できます！
ヤングは学同連という連盟に所属し、春・秋に他大学との対抗戦（春季学同連・秋季学同連）に出場しています。その試合で勝ち上がった人が出場できる関東オープンや関東インドア、８月には年間で最もビッグなイベントである全日本学生オープン（通称全日）に出場します。昨年は学同連男女団体個人共に優勝、全日は男子団体準優勝・個人優勝などの結果を残しました！大会はそれぞれ男女の団体戦個人戦で構成されており、技術に関係なく誰でも参加することができます！
また、月に1回程度の楽しいイベントも盛りだくさん！BBQや小旅行、スポーツ大会、合宿など様々なイベントを開催しています。ヤングでしか出会えない最高の仲間たちと出会い、充実した早稲田ライフを送れること間違いなし！ヤングは皆さんの「居場所」になれるサークルです！少しでも気になる方はSNS等で気軽に連絡してください！","週2・3日　城北中央公園・浮間公園
","50人
","1962年
",0人,スポーツ（球技）,テニス
グリーンテニスクラブ,"今年で創立61年目を迎える早稲田大学公認サークルで、12大連盟に所属！男女共にオール早稲田で全キャンパス員在籍しています！練習は月〜土の週6日＆週1ナイター練！全中やインターハイ経験者も多数在籍しており、レベルの高い練習ができます！また、サークル員の約半数は大学からテニスを始めた初心者で、テニスコーチ経験のある先輩などから1からテニスを教わることもできます！入会制限・期限なし！年3回の団体戦に出場しており、戦績多数！2016〜2019, 2023年度早大カップ第4位！ 2023年度ASSE団体戦第3位！テニス以外にも海企画や納涼船、新春企画といったイベントも年中用意しているので一年を通して充実した大学生活を送ることができます！テニスを真面目に取り組みたい人、テニスを好きになりたい人、何かを全力でやってみたいという人、大歓迎です！僕らと一緒にグリーンで最高の大学生活を送りましょう！！","毎週月曜から土曜/13時/都営テニスコート
","110人
","1963年

",0人,スポーツ（球技）,テニス
早稲田大学理工バレーボール部,"理工バレーボール部はりこばれの愛称で長年親しまれています。理工学術院公認サークルで主に理工学部の生徒で構成されていることもあり、授業と極力かぶらないよう平日の夜と土曜の昼に練習日があります。メンバーは選手(男子のみ)とマネジャー(女子のみ)で構成。理系中心ですが文系も在籍しており、和気藹々（あいあい）としています。年に2回ある同好会リーグ(5月、11月)と理工リーグ(6月、12月)を軸に多くの大会に参加し、合宿は3回(8月、11月、3月)にあります。バレーをちゃんとやりたいけれども学業に支障をきたしたくない、合宿や飲み会、イベントも楽しみたいという人にはもってこいのサークルだと思います(＾◇＾)どこのサークルに入ろうか悩んでいる人、新しくバレーを始めたい人、勉強が忙しいけどバレーもやりたい人はぜひ一度見に来てください！！新規部員の募集は原則として新歓期間(4, 5月)のみです！",毎週月曜日・木曜日（大久保小学校：18時-21時）、土曜日（大久保小学校：9時-12時）,"55人
","1960年
",0人,スポーツ（球技）,バレーボール
バレーボール同好会,バレーボール同好会は早稲田大学公認のバレーボールサークルです。毎週火曜と隔週で木曜、土曜の週2回、世田谷区や板橋区、清瀬市など都内の体育館を中心にして練習しています。活動は3年生が幹部として運営していて、声が大きい陽気な幹事長、何を言っているかよくわからない副幹事長、一発芸が得意な会計、ちゃらんぽらんなマネージャーなど様々な個性を持っている3年生が日々賑やかな練習を作り上げていて、年に2回行われる同好会リーグを目標に、初心者も経験者も楽しく、真剣にバレーボールに取り組んでいます。男女仲、先輩後輩の仲がとても良く、週末にはよくドライブや遊園地、ビーチバレーなどいろんなところに遊びに行っています。日々の練習の他にも、合宿やスノボ旅行、早慶戦、早関戦などイベントが盛り沢山です。合宿やスノボ旅行は泊まり行事なのでサークル会員みんなとても仲良くなることができます！「大学でバレーボールを始めたい！」、「大学でもバレーボールを続けたい！」また、｢大学で最高の友達を作りたい！｣という新入生の皆さんはぜひ練習や新歓合宿におこしください！,毎週火曜日/18時半〜21時/世田谷区立駒沢中学校/隔週木曜・土曜日/18時〜21時半/清瀬市民体育館・植村加賀記念スポーツセンター・和光市総合体育館など,64人,1962年,1人,スポーツ（球技）,バレーボール
アンカー・バレーボールクラブ,私たちアンカー・バレーボールクラブは「バレーも遊びも全力で！」をモットーに活動しており、バレーボールの面では西荻窪で火・木、週2回の練習を中心に、世田谷での大会などさまざまな大会に精力的に参加しています。初心者から県選抜の経験者まで幅広く在籍しており、男女別々のコートでプレーしています。遊びの面ではバーベキューやビーチバレー、クリスマスパーティーにディズニーランドなど多くのイベントを企画しています。年に5回の合宿では大会に向けたバレーボールの強化練習の他に、夏には海水浴、冬にはスキー・スノーボードなど季節に合わせた活動も行い、夜にはサークル員同士の親睦を深めるためにレクリエーションも行っています。大学生活を楽しむならぜひアンカーへ！,"毎週火曜日・木曜日/18時半〜21時/荻窪中学校
","45人
","1979年
",0人,スポーツ（球技）,バレーボール
